섹션,주제,문제,답안,난이도
반복문,고양이 계단 오르기,"고양이가 계단을 오르는데, 매번 1칸 또는 2칸을 오를 수 있습니다. n칸짜리 계단을 오르는 모든 방법의 수를 계산하세요. (예: 3칸일 경우 1+1+1, 1+2, 2+1의 세 가지 방법이 있습니다)","n = int(input(""계단의 총 칸 수 n을 입력하세요: ""))

# 초기화
ways = [1, 1]  # 0칸과 1칸의 경우의 수
for i in range(2, n + 1):
    ways.append(ways[i - 1] + ways[i - 2])

print(f""{n}칸을 오르는 방법의 수: {ways[n]}"")
",중
반복문,스스로 만드는 숫자 마방진,"홀수 n이 주어졌을 때, n x n 마방진을 만들어 출력하세요. 마방진은 각 행, 열, 대각선의 합이 같은 정사각형 배열입니다. (예: n = 3일 때 마방진 [[8, 1, 6], [3, 5, 7], [4, 9, 2]])","n = int(input(""홀수 n을 입력하세요: ""))

magic_square = [[0] * n for _ in range(n)]
i, j = 0, n // 2

for num in range(1, n * n + 1):
    magic_square[i][j] = num
    new_i, new_j = (i - 1) % n, (j + 1) % n
    if magic_square[new_i][new_j]:
        i += 1
    else:
        i, j = new_i, new_j

for row in magic_square:
    print(row)
",상
반복문,중첩된 이름 피라미드,"사용자로부터 이름을 입력받고, 입력된 이름의 글자 수에 맞춰 피라미드 형태로 출력하세요. 예를 들어 이름이 ""Anna""라면 다음과 같이 출력됩니다:","name = input(""이름을 입력하세요: "")

for i in range(1, len(name) + 1):
    print(name[:i])
",하
반복문,랜덤 주사위 던지기 게임,"컴퓨터가 주사위를 던졌을 때, 1~6 사이의 숫자를 랜덤하게 생성하고 이를 10번 반복합니다. 숫자 6이 나올 때마다 ""성공!""을 출력하고, 마지막에 총 성공 횟수를 알려줍니다.","import random

success_count = 0

for _ in range(10):
    dice_roll = random.randint(1, 6)
    if dice_roll == 6:
        success_count += 1
        print(""성공!"")
    else:
        print(f""{dice_roll}이(가) 나왔습니다."")

print(f""총 성공 횟수: {success_count}"")
",중
반복문,동전 잔돈 계산기,"어떤 금액이 주어졌을 때, 500원, 100원, 50원, 10원 동전으로 잔돈을 가장 적은 개수로 만들 수 있는 방법을 반복문을 사용하여 계산하세요.","amount = int(input(""금액을 입력하세요: ""))

coins = [500, 100, 50, 10]
coin_count = {}

for coin in coins:
    count = amount // coin
    amount %= coin
    coin_count[coin] = count

for coin, count in coin_count.items():
    print(f""{coin}원 동전: {count}개"")
",중
반복문,신기한 문자 회전,"사용자가 문자열을 입력하면, 문자열을 한 글자씩 오른쪽으로 회전시키며 출력하는 프로그램을 작성하세요. 예를 들어, ""hello""를 입력받으면 다음과 같이 출력됩니다:","word = input(""문자열을 입력하세요: "")

for i in range(len(word)):
    rotated_word = word[-i:] + word[:-i]
    print(rotated_word)
",하
반복문,숫자 삼각형 만들기,"양의 정수 n을 입력받아, 다음과 같은 형태로 숫자 삼각형을 출력하세요. 예를 들어, n = 5일 때 다음과 같이 출력됩니다:","n = int(input(""양의 정수 n을 입력하세요: ""))

for i in range(1, n + 1):
    for j in range(1, i + 1):
        print(j, end="""")
    print()
",중
반복문,합 구하기,"사용자로부터 양의 정수 n을 입력받아, 1부터 n까지의 합을 구하는 프로그램을 작성하세요.","n = int(input(""양의 정수 n을 입력하세요: ""))
total_sum = 0

for i in range(1, n + 1):
    total_sum += i

print(f""1부터 {n}까지의 합: {total_sum}"")
",하
반복문,구구단 만들기,"사용자로부터 출력할 구구단의 단을 입력받아, 해당 단을 출력하세요.","dan = int(input(""출력할 구구단의 단을 입력하세요: ""))

for i in range(1, 10):
    print(f""{dan} x {i} = {dan * i}"")
",하
반복문,별로 트리 만들기,"사용자로부터 양의 정수 n을 입력받아, n 층의 별 트리를 출력하세요.","n = int(input(""트리의 높이를 입력하세요: ""))

for i in range(1, n + 1):
    print("" "" * (n - i) + ""*"" * (2 * i - 1))
",중
반복문,행운의 숫자 맞히기 게임,"컴퓨터가 1부터 100 사이의 랜덤 숫자를 하나 고릅니다. 사용자는 컴퓨터가 고른 숫자를 맞히기 위해 최대 7번의 기회를 가집니다. 사용자가 입력할 때마다 컴퓨터는 더 큰지, 더 작은지 힌트를 줍니다.","import random

secret_number = random.randint(1, 100)
attempts = 7

print(""1부터 100 사이의 숫자를 맞혀보세요!"")

for i in range(attempts):
    guess = int(input(f""추측한 숫자 (남은 기회 {attempts - i}회): ""))
    if guess < secret_number:
        print(""더 큰 숫자입니다."")
    elif guess > secret_number:
        print(""더 작은 숫자입니다."")
    else:
        print(""축하합니다! 정답입니다!"")
        break
else:
    print(f""아쉽네요! 정답은 {secret_number}였습니다."")
",상
반복문,추억의 숫자 야구 게임,"컴퓨터가 0부터 9까지의 숫자 중에서 서로 다른 3개의 숫자를 고릅니다. 사용자는 이 숫자들을 맞히기 위해 추측하고, 컴퓨터는 숫자가 맞았는지와 위치가 맞았는지 피드백을 줍니다.","import random

# 컴퓨터가 선택한 3개의 숫자 (서로 다르게 선택)
numbers = random.sample(range(10), 3)

attempts = 0
while True:
    guess = input(""세 자리 숫자를 입력하세요: "")
    guess_numbers = [int(digit) for digit in guess]

    # 스트라이크와 볼 계산
    strike = sum(1 for i in range(3) if guess_numbers[i] == numbers[i])
    ball = sum(1 for i in range(3) if guess_numbers[i] in numbers and guess_numbers[i] != numbers[i])

    attempts += 1
    print(f""{strike} 스트라이크, {ball} 볼"")

    if strike == 3:
        print(f""축하합니다! {attempts}번 만에 맞히셨습니다!"")
        break
",상
반복문,달력 그리기,"사용자가 원하는 월의 달력을 그려 보세요. 요일과 일자 순서로, 각 줄에 7일씩 나누어 표시합니다. 예를 들어, 1일이 화요일이고, 31일까지 있는 경우를 그려보세요.","start_day = int(input(""첫 번째 날의 요일을 입력하세요 (0=일요일, 6=토요일): ""))
days = int(input(""이번 달의 일 수를 입력하세요: ""))

print(""일 월 화 수 목 금 토"")
print(""   "" * start_day, end="""")

for day in range(1, days + 1):
    print(f""{day:2}"", end="" "")
    if (day + start_day) % 7 == 0:
        print()
",상
반복문,숫자 회전판 만들기,사용자가 입력한 숫자 n을 기준으로 1부터 n까지 회전하여 반복적으로 표시합니다.,"n = int(input(""숫자 회전판 크기를 입력하세요: ""))

for i in range(n):
    for j in range(n):
        print((i + j) % n + 1, end="" "")
    print()
",중
반복문,거꾸로 구구단,"구구단을 출력하되, 9 x 9부터 시작하여 1 x 1까지 거꾸로 출력되도록 해보세요.","for i in range(9, 0, -1):
    for j in range(9, 0, -1):
        print(f""{i} x {j} = {i * j}"", end=""\t"")
    print()
",중
